match_id,match_date,stage,home_team,away_team,home_goals,away_goals,target,home_country,away_country
523954,2024-11-26 20:00:00+00:00,LEAGUE_STAGE,Manchester City FC,Feyenoord Rotterdam,3,3,1,England,Netherlands
523982,2024-11-26 20:00:00+00:00,LEAGUE_STAGE,Bayer 04 Leverkusen,FC Red Bull Salzburg,5,0,2,Germany,Austria
524071,2024-11-27 17:45:00+00:00,LEAGUE_STAGE,SK Sturm Graz,Girona FC,1,0,2,Austria,Spain
524031,2024-11-27 17:45:00+00:00,LEAGUE_STAGE,FK Crvena Zvezda,VfB Stuttgart,5,1,2,Serbia,Germany
524021,2024-11-27 20:00:00+00:00,LEAGUE_STAGE,PSV,FK Shakhtar Donetsk,3,2,2,Netherlands,Ukraine
524008,2024-11-27 20:00:00+00:00,LEAGUE_STAGE,GNK Dinamo Zagreb,Borussia Dortmund,0,3,0,Croatia,Germany
524045,2024-11-27 20:00:00+00:00,LEAGUE_STAGE,Aston Villa FC,Juventus FC,0,0,1,England,Italy
523944,2024-11-27 20:00:00+00:00,LEAGUE_STAGE,Liverpool FC,Real Madrid CF,2,0,2,England,Spain
524050,2024-11-27 20:00:00+00:00,LEAGUE_STAGE,Bologna FC 1909,Lille OSC,1,2,0,Italy,France
524041,2024-11-27 20:00:00+00:00,LEAGUE_STAGE,AS Monaco FC,Sport Lisboa e Benfica,2,3,0,Monaco,Portugal
524005,2024-11-27 20:00:00+00:00,LEAGUE_STAGE,Celtic FC,Club Brugge KV,1,1,1,Scotland,Belgium
524052,2024-12-10 17:45:00+00:00,LEAGUE_STAGE,Girona FC,Liverpool FC,0,1,0,Spain,England
524010,2024-12-10 17:45:00+00:00,LEAGUE_STAGE,GNK Dinamo Zagreb,Celtic FC,0,0,1,Croatia,Scotland
524024,2024-12-10 20:00:00+00:00,LEAGUE_STAGE,FC Red Bull Salzburg,Paris Saint-Germain FC,0,3,0,Austria,France
524000,2024-12-10 20:00:00+00:00,LEAGUE_STAGE,FK Shakhtar Donetsk,FC Bayern München,1,5,0,Ukraine,Germany
523972,2024-12-10 20:00:00+00:00,LEAGUE_STAGE,Atalanta BC,Real Madrid CF,2,3,0,Italy,Spain
523980,2024-12-10 20:00:00+00:00,LEAGUE_STAGE,Bayer 04 Leverkusen,FC Internazionale Milano,1,0,2,Germany,Italy
523963,2024-12-10 20:00:00+00:00,LEAGUE_STAGE,RB Leipzig,Aston Villa FC,2,3,0,Germany,England
524066,2024-12-10 20:00:00+00:00,LEAGUE_STAGE,Stade Brestois 29,PSV,1,0,2,France,Netherlands
523990,2024-12-10 20:00:00+00:00,LEAGUE_STAGE,Club Brugge KV,Sporting Clube de Portugal,2,1,2,Belgium,Portugal
523979,2024-12-11 17:45:00+00:00,LEAGUE_STAGE,Club Atlético de Madrid,ŠK Slovan Bratislava,3,1,2,Spain,Slovakia
524019,2024-12-11 17:45:00+00:00,LEAGUE_STAGE,Lille OSC,SK Sturm Graz,3,2,2,France,Austria
523936,2024-12-11 20:00:00+00:00,LEAGUE_STAGE,Borussia Dortmund,FC Barcelona,2,3,0,Germany,Spain
523970,2024-12-11 20:00:00+00:00,LEAGUE_STAGE,AC Milan,FK Crvena Zvezda,2,1,2,Italy,Serbia
523987,2024-12-11 20:00:00+00:00,LEAGUE_STAGE,Sport Lisboa e Benfica,Bologna FC 1909,0,0,1,Portugal,Italy
523995,2024-12-11 20:00:00+00:00,LEAGUE_STAGE,Arsenal FC,AS Monaco FC,3,0,2,England,Monaco
